pattern1	pattern2	instance1	instance2	similarity scores	worker IDs
plan for	be one block on	No one plan for their possessions	No one be one block on their possessions	6 1 6 2 1	44 13 6 11 25
recover	invest	the defendant recover his costs	the defendant invest his costs	1 6 1 1 4	43 44 35 13 45
be displayed throughout	be hung in	Posters be displayed throughout the workshop	Posters be hung in the workshop	1 1 5 5 5	43 44 35 6 45
be an avid user of	give a presentation on	Sherlock Holmes be an avid user of opium	Sherlock Holmes give a presentation on opium	2 1 2 3 4	58 7 50 8 9
consist of	begin with	This group consist of women	This group begin with women	5 1 6 4 1	39 43 44 12 15
be tired for	be censored for	my legs be tired for some reason	my legs be censored for some reason	2 2 1 2 1	7 11 50 8 9
look to meet	meet up with	Danny look to meet the fans	Danny meet up with the fans	3 5 5 5 5	38 14 17 18 19
pick up a lot of	lose a ton of	youl pick up a lot of material	youl lose a ton of material	1 1 4 1 5	30 31 3 32 33
bear the name of	name the name of	the dials bear the name of the retailer	the dials name the name of the retailer	3 1 1 6 6	39 43 44 12 15
marry	propose to	Noe Schitt marry Ted Sherlock	Noe Schitt propose to Ted Sherlock	3 3 4 5 3	38 21 18 19 20
be sufficient for	be insufficient for	A high school diploma be sufficient for most jobs	A high school diploma be insufficient for most jobs	2 1 1 2 5	0 1 2 3 4
be critical to	be the secret to	Peer review be critical to the standards	Peer review be the secret to the standards	6 3 5 4 6	47 0 22 37 49
be stationed in	be single in	American GIs be stationed in Europe	American GIs be single in Europe	2 1 2 1 5	0 1 2 23 4
have all type of	have a great variety of	The site have all type of gifts	The site have a great variety of gifts	5 5 1 6 4	39 5 43 12 48
be used in	be studied in	herbs be used in combination	herbs be studied in combination	3 3 6 1 1	39 5 43 44 12
be reputed to be	be noted as	Confucius be reputed to be the first	Confucius be noted as the first	1 6 6 4 2	47 1 2 21 3
be regarded as	be deemed	the work be regarded as drudgery	the work be deemed drudgery	6 2 6 6 5	34 28 35 29 36
be a list of	be for	the UFOC be a list of franchisees	the UFOC be for franchisees	3 2 4 4 3	39 26 34 47 38
be attracted to	give up on	Many people be attracted to Florida	Many people give up on Florida	2 2 1 2 2	14 11 50 9 48
submit via	be accepted by	Information submit via forms	Information be accepted by forms	1 6 6 6 6	30 31 3 32 50
seek	retain	the lawsuit seek unspecified damages	the lawsuit retain unspecified damages	3 1 1 3 3	39 34 47 38 5
remind	shake	Tyra remind CariDee	Tyra shake CariDee	3 1 5 2 6	38 47 42 18 19
be published on	be uploaded to	some documents and photos be published on this site	some documents and photos be uploaded to this site	5 5 6 1 6	39 5 43 44 12
be fair to	be like for	an agreement be fair to all parties	an agreement be like for all parties	5 5 2 5 3	13 14 15 48 25
appreciate	welcome	Customers appreciate the suggestion	Customers welcome the suggestion	6 5 6 6 5	40 14 50 8 48
send e-mail to	email to	Only registered users send e-mail to other users	Only registered users email to other users	4 6 6 6 5	44 13 11 15 25
shake she head in	shake his head in	Elizabeth shake she head in denial	Elizabeth shake his head in denial	5 6 5 2 6	26 27 28 17 29
yield to	fall prey to	The reed yield to the wind	The reed fall prey to the wind	3 1 1 5 6	39 43 44 12 15
have to	want to	Each user have to download	Each user want to download	5 5 1 5 5	39 5 43 12 6
drive	drag	Kenseth drive the car	Kenseth drag the car	1 2 3 1 3	44 13 6 15 25
deliver	attract	God deliver my soul	God attract my soul	1 4 1 6 5	30 1 3 32 33
be crushed to	be condemned to	Two women be crushed to death	Two women be condemned to death	5 2 2 2 1	5 13 14 7 15
be to serve	be ready to serve	mankind be to serve God	mankind be ready to serve God	5 6 6 6 5	39 57 34 47 38
be glad to be in	be happy to be in	Katie be glad to be in her hometown	Katie be happy to be in her hometown	4 6 5 6 6	43 44 6 35 45
host	participate in	The club host the event	The club participate in the event	1 1 4 5 4	30 31 3 33 52
sign all of	produce most of	The United States sign all of these treaties	The United States produce most of these treaties	5 1 6 1 1	39 43 44 12 15
misplace	forget to bring	Dont misplace your chip	Dont forget to bring your chip	5 6 6 5 2	26 27 28 17 29
go up on	climb to	Moses go up on Mount Cyanide	Moses climb to Mount Cyanide	5 6 6 5 5	5 40 12 14 7
refute	confirm	Many scholars refute this argument	Many scholars confirm this argument	6 1 2 2 2	43 44 35 6 45
be located off	pass under	This property be located off the A4	This property pass under the A4	1 1 4 2 5	30 31 32 50 33
be born in	travel to	Jackie be born in Chicago	Jackie travel to Chicago	1 1 2 2 2	47 0 2 22 21
partner with	have a partnership with	Ford partner with Microsoft	Ford have a partnership with Microsoft	6 6 4 6 6	26 27 28 17 29
come with	save	this one come with a disclaimer	a disclaimer save this one	1 6 1 1 2	27 28 35 29 46
answer	reply to	the Lord answer him	the Lord reply to him	6 6 6 5 6	43 35 13 36 45
want to give	want to show	a lot of people want to give their ideas	a lot of people want to show their ideas	5 3 6 6 5	14 11 50 9 48
gaze up at	lean into	his grandson gaze up at him	his grandson lean into him	3 3 2 6 2	38 42 18 19 10
enjoy listen to	learn from	others enjoy listen to the sounds	others learn from the sounds	1 2 3 3 5	47 51 2 22 49
arrive in	stay in	George Bush arrive in Washington	George Bush stay in Washington	3 1 6 5 2	39 43 44 12 15
arrange	organize	Guests arrange a birthday party	Guests organize a birthday party	6 6 2 6 6	41 22 37 20 49
lose all sense of	have any sense of	My friend lose all sense of reason	My friend have any sense of reason	3 2 2 5 5	38 42 21 37 49
agree to notify	register with	Owner agree to notify Marina	Owner register with Marina	1 3 1 1 3	16 31 37 32 10
be fond of	be good with	search engines be fond of articles	search engines be good with articles	6 4 5 3 3	16 17 10 24 25
come out on	be released on	The Movie come out on video	The Movie be released on video	6 6 5 6 6	43 44 6 35 45
have access to	be given access to	the debugger have access to the source code	the debugger be given access to the source code	6 6 6 5 5	34 27 29 36 45
take an interest in	have an interest in	Bateson take an interest in Bandler and Grinder	Bateson have an interest in Bandler and Grinder	3 6 5 6 5	38 16 42 21 19
campaign for	want to vote for	Civilians campaign for office	Civilians want to vote for office	1 1 3 5 6	41 16 2 22 49
be last modified on	be valid from	This page be last modified on 17 February 2008	This page be valid from 17 February 2008	6 1 1 5 3	43 44 35 6 45
bow	start shake	the father bow his head	the father start shake his head	1 1 2 1 6	30 31 3 32 33
be grateful for	like to thank everyone for	the artist be grateful for the opportunity	the artist like to thank everyone for the opportunity	3 5 6 5 6	38 42 18 19 20
be sold throughout	be sold within	These dogs be sold throughout America	These dogs be sold within America	5 6 5 6 7	39 58 7 8 9
hand	name	Bobby hand her clothes	Bobby name her clothes	2 1 2 3 1	58 7 50 8 9
be a natural part of	be all part of	Menopause be a natural part of a woman 's life	Menopause be all part of a woman 's life	6 5 2 5 5	16 42 37 10 49
have peace with	sign a peace treaty with	the believer have peace with God	God sign a peace treaty with the believer	1 5 1 6 1	30 31 3 32 50
threaten	defend	husbands threaten their wives	husbands defend their wives	5 1 1 1 2	34 27 29 36 45
be the guy with	ditch	Carlos be the guy with the plan	Carlos ditch the plan	4 1 1 1 2	27 28 35 29 46
stop in	be stopped in	a taxi stop in front of me	a taxi be stopped in front of me	6 5 5 6 4	44 13 14 15 25
describe	provide information about	One of the authors describe the book	One of the authors provide information about the book	5 5 5 6 3	13 17 24 15 25
step in for	go in to get	Michelle Obama step in for her husband	Michelle Obama go in to get her husband	2 3 2 2 5	41 42 21 37 49
be free of	be put in	mobile phones be free of charge	mobile phones be put in charge	1 1 3 1 1	47 16 42 18 20
post on	be posted to	Interview post on November 17 , 2007	Interview be posted to November 17 , 2007	1 1 6 6 6	47 38 0 41 16
guarantee	supply	zonealarm guarantee a cheap firewall	zonealarm supply a cheap firewall	6 3 5 4 6	47 0 22 3 32
have no limit on	impose restriction on	Nevada have no limit on losses	Nevada impose restriction on losses	1 1 1 1 1	44 13 14 15 25
get out of	be kept under	inflation get out of control	inflation be kept under control	6 1 2 2 2	47 41 22 2 49
keep develop	have no confidence in	the companies keep develop new drugs	the companies have no confidence in new drugs	1 6 2 1 2	41 16 0 51 21
have location in	have a location in	some of the national companies have location in your area	some of the national companies have a location in your area	6 6 6 7 6	44 13 14 15 25
shoot	attack	John/Roman shoot him	John/Roman attack him	5 5 1 6 5	39 5 43 44 12
spend five year at	be a consultant for	The Buddha spend five year at Rajgir	The Buddha be a consultant for Rajgir	1 7 1 1 2	34 28 35 29 36
have one thing on	be next on	the Germans have one thing on their minds	the Germans be next on their minds	3 3 2 1 1	5 13 14 7 15
be optimal for	be suitable to	a newspaper be optimal for advertising	a newspaper be suitable to advertising	5 5 6 6 6	7 11 50 8 9
be designed in	be developed in	systems be designed in this manner	systems be developed in this manner	6 6 1 6 6	26 27 28 17 29
be jealous of	be inspired by	angels be jealous of men	angels be inspired by men	2 1 2 1 1	58 7 50 8 9
receive a ton of	receive a couple of	The album receive a ton of spins	The album receive a couple of spins	4 1 5 2 3	6 7 50 8 9
silence	lash out at	The King silence the opposition	The King lash out at the opposition	4 5 2 5 6	41 42 37 20 49
vote in	take part in	Only registered users vote in polls	Only registered users take part in polls	5 6 6 2 5	41 22 21 37 49
plant	sow	The women plant corn	The women sow corn	5 2 6 5 5	5 11 50 9 48
be the part of	be an area of	The small intestine be the part of the digestive system	The small intestine be an area of the digestive system	6 5 5 5 6	16 17 20 48 25
be felt in	spread beyond	The pain be felt in the chest	The pain spread beyond the chest	4 6 3 5 2	0 30 51 33 52
be held at	follow in	Funeral services be held at First Baptist Church	Funeral services follow in First Baptist Church	5 1 6 1 4	39 43 44 12 15
be required at	be available at	Retirement be required at the same time	Retirement be available at the same time	3 5 1 6 5	39 5 43 44 12
be called	be dubbed	God be called Yahweh	God be dubbed Yahweh	3 5 6 5 6	38 42 18 19 10
remain in	die in	The children 's mother remain in jail	The children 's mother die in jail	3 2 2 4 2	14 11 50 9 48
abandon	walk from	the entrepreneur abandon the property	the entrepreneur walk from the property	6 6 5 6 7	51 2 21 32 4
be used in	be used throughout	an img element be used in a SMIL container	an img element be used throughout a SMIL container	3 5 5 6 6	38 42 18 19 10
pick	decide on	Fans pick their favorite drivers	Fans decide on their favorite drivers	6 6 6 6 5	34 27 29 23 45
turn on	flick on	Leo turn on the radio	Leo flick on the radio	6 5 5 6 7	16 17 19 48 25
be new to	stick with	student be new to computers	student stick with computers	3 2 2 2 7	41 22 21 37 49
offer word of	be to lend	a few of you offer word of advice	a few of you be to lend advice	5 6 1 3 5	34 28 35 29 36
cheat on	treat	My best friend cheat on his girlfriend	My best friend treat his girlfriend	2 2 2 2 5	42 21 37 10 49
be held in	be planned for	their first meeting be held in March	their first meeting be planned for March	6 5 2 6 5	0 1 3 23 4
take a stroll through	picnic in	the Prince take a stroll through the castle	the Prince picnic in the castle	6 3 1 3 1	47 51 1 3 52
be lowered by	drop about	the temperature be lowered by one more degree	the temperature drop about one more degree	6 5 6 5 5	5 40 12 14 11
be provided for	be provided to	Telephone support be provided for questions	Telephone support be provided to questions	7 5 6 6 6	47 0 51 2 21
choose to contact	be harassed by	customers choose to contact your organisation	customers be harassed by your organisation	1 1 1 6 1	30 31 3 32 50
propagate	unravel	A program propagate itself	A program unravel itself	3 6 2 2 5	38 16 17 18 19
relocate from	move home to	Most of my family relocate from New York	Most of my family move home to New York	6 4 1 6 2	16 31 37 32 10
be vital for	be critical for	Water be vital for survival	Water be critical for survival	5 7 6 7 7	39 7 50 8 9
spend time with	enjoy work with	Elizabeth spend time with her husband	Elizabeth enjoy work with her husband	6 6 2 5 4	34 27 29 23 45
be achieved by	be wasted by	the same be achieved by conversion	the same be wasted by conversion	3 3 1 1 2	39 5 43 12 48
die	hurt	a part of him die that day	a part of him hurt that day	1 3 5 4 5	47 40 0 1 4
contact	speak to	The parties contact each other	The parties speak to each other	5 6 1 5 5	39 40 43 12 20
specialize in	have a large selection of	Jared specialize in sales	Jared have a large selection of sales	1 6 4 4 4	43 35 13 36 45
kill	kill more than	the Jews kill him	the Jews kill more than him	1 2 3 2 2	16 17 10 24 25
be regarded as	be considered as	Chennai be regarded as the Gateway	Chennai be considered as the Gateway	6 6 7 6 5	34 28 35 29 36
like to purchase	go to purchase	Consumers like to purchase a pair	Consumers go to purchase a pair	5 5 4 2 5	55 41 0 51 2
appear to	indicate to	God appear to Cornelius	God indicate to Cornelius	6 5 4 2 3	47 1 22 3 52
be listed as	be reported as	Northern abalone be listed as a threatened species	Northern abalone be reported as a threatened species	6 6 6 5 5	34 27 29 36 45
be propagated to	be decoupled from	the changes be propagated to the primary database	the changes be decoupled from the primary database	1 1 2 5 1	30 31 3 33 52
travel along	travel down	electrical impulse travel along the wire	electrical impulse travel down the wire	1 6 6 6 1	16 31 37 10 32
face the threat of	be safe from	London face the threat of the IRA.	London be safe from the IRA.	1 2 2 1 1	13 6 11 15 25
be connected to	have access to	the machine be connected to a local network	the machine have access to a local network	6 6 5 5 5	34 27 13 36 45
have a number of	have of	the park have a number of different areas	the park have of different areas	6 6 5 5 7	40 41 1 21 4
deny	affirm	Defendants deny their actions	Defendants affirm their actions	1 1 2 1 5	30 31 3 32 33
cheat on	be survived by	My best friend cheat on his girlfriend	My best friend be survived by his girlfriend	6 1 1 2 3	34 27 23 36 45
be supported by	be board certified by	The study be supported by the American Society	The study be board certified by the American Society	5 5 5 4 2	41 0 51 22 37
plan to send	continue to send	The European Space Agency plan to send an orbiter	The European Space Agency continue to send an orbiter	6 3 3 3 4	44 17 24 15 25
have location in	have operation in	some of the national companies have location in your area	some of the national companies have operation in your area	6 6 6 6 6	55 47 51 2 22
get on	start to get on	New Orleans get on the board	New Orleans start to get on the board	4 4 4 3 4	41 22 21 37 49
do something about	make sense for	Obama do something about health care costs	health care costs make sense for Obama	5 2 3 3 5	39 40 12 7 20
own	be sold to	Microsoft own the desktop	the desktop be sold to Microsoft	1 6 2 6 5	30 31 3 32 33
be determined	be considered	The interest rate be determined every three months	The interest rate be considered every three months	6 5 6 6 7	58 7 50 8 9
prepare	advertise	Participants prepare food	Participants advertise food	2 3 6 1 2	39 5 43 12 48
be familar with	have experience with	your audience be familar with all this	your audience have experience with all this	6 6 5 7 6	5 12 14 7 15
begin write	love to write	Participants begin write November 1	Participants love to write November 1	6 3 1 6 2	30 31 3 32 50
be familar with	have some experience with	your audience be familar with all this	your audience have some experience with all this	6 2 6 6 4	58 11 50 8 9
be disappointing to	be frustrating for	his life be disappointing to him	his life be frustrating for him	3 5 3 6 6	38 42 18 19 10
solve	settle	one solution solve all problems	one solution settle all problems	5 5 6 6 5	39 5 12 7 20
have a few of	get some of	Ive have a few of her books	Ive get some of her books	1 4 6 6 4	16 31 37 10 32
have any question about	find information on	any member of the group have any question about an event	any member of the group find information on an event	6 6 3 2 3	34 27 23 36 45
get out of	get into	inflation get out of control	inflation get into control	2 1 1 3 2	39 34 47 38 5
think about	talk about	an author think about a given topic	an author talk about a given topic	2 3 2 4 1	12 14 7 9 15
make tremendous progress in	have problem in	Malaysia make tremendous progress in this regard	Malaysia have problem in this regard	2 2 6 1 1	39 5 43 44 12
turn into	end in	Saturday night turn into Sunday morning	Saturday night end in Sunday morning	1 6 6 6 1	16 31 37 10 32
be proud of	be pleased with	Greenwich be proud of its maritime history	Greenwich be pleased with its maritime history	1 1 5 6 5	34 28 35 29 36
park in	pull up to	cars park in the road	cars pull up to the road	3 6 3 2 6	38 47 42 18 19
teach	start teach	Christ teach the children	Christ start teach the children	6 5 4 4 4	13 24 15 48 25
be designated for	be to be used for	a computer be designated for work	a computer be to be used for work	3 5 6 6 5	38 14 17 18 19
want to add to	add these to	students want to add to current skills	students add these to current skills	6 5 2 5 5	30 31 3 33 52
please return	please get	Students please return their applications	Students please get their applications	6 2 2 3 3	44 17 10 24 25
be raised in	be a native of	Complaints be raised in the past	Complaints be a native of the past	5 4 5 2 1	5 12 14 7 15
take place after	be set after	The program take place after lunch	The program be set after lunch	5 6 7 6 5	14 11 50 9 48
result in	be a result of	globalization result in cultural uniformity	globalization be a result of cultural uniformity	1 6 6 1 5	44 13 6 15 25
expect to make	be set to make	Senior associates expect to make partner	Senior associates be set to make partner	4 4 2 6 6	51 1 3 23 4
deserve	be given	This subject deserve a post	This subject be given a post	4 5 4 3 6	30 31 1 3 33
describe	present	This section describe a sample application	This section present a sample application	3 5 5 6 6	38 17 18 19 20
show up	be killed	Jack show up one day	Jack be killed one day	1 1 1 2 1	47 1 2 21 3
ignore	reject	Most people ignore this commandment	Most people reject this commandment	6 6 6 5 4	34 27 29 36 45
mean focus on	be focussed on	businesses mean focus on firms	businesses be focussed on firms	5 6 6 6 2	39 43 44 12 15
rely on	enable	Ukraine rely on support	Ukraine enable support	2 6 3 2 3	43 44 6 35 45
kick	slap	Moses Malone kick him	Moses Malone slap him	6 2 6 5 3	44 13 6 11 25
seem to make	fail to make	This explanation seem to make sense	This explanation fail to make sense	2 1 6 1 1	39 43 44 12 15
be available at	be obtained at	This book be available at Amazon.com	This book be obtained at Amazon.com	6 5 6 5 5	41 51 2 22 20
spend lot of	run out for	the members spend lot of time and efforts	time and efforts run out for the members	6 6 1 2 2	34 27 29 46 36
be simple to	be desirable to	The questions be simple to state	The questions be desirable to state	5 2 3 5 6	5 7 20 10 8
pay better than	be more complete than	big companies pay better than small ones	big companies be more complete than small ones	5 5 3 5 3	39 5 7 20 8
be made for	be designed for	The movie be made for kids	The movie be designed for kids	6 7 6 6 2	0 41 51 2 22
affect the level of	cause an increase in	A disability affect the level of income	A disability cause an increase in income	5 2 1 4 5	5 40 12 14 7
be responsible for	be linked to	Merchants be responsible for all aspects of order processing	Merchants be linked to all aspects of order processing	6 5 2 5 6	47 21 37 20 49
be supported by	be produced by	The study be supported by the American Society	The study be produced by the American Society	2 2 2 2 6	0 16 37 20 49
preside over	conduct	President Hu Jintao preside over the meeting	President Hu Jintao conduct the meeting	5 6 6 2 5	41 21 22 37 49
browse	find link to	the individuals browse the site	the individuals find link to the site	6 6 2 2 3	26 27 28 17 29
denounce	oppose	the groups denounce this situation	the groups oppose this situation	5 7 7 6 5	39 34 47 38 5
enter	go into	a girl enter the room	a girl go into the room	6 6 6 6 6	41 0 16 2 22
be all around	be all over	autism be all around the globe	autism be all over the globe	6 7 6 5 5	16 13 17 10 25
imply about	be true about	the poem imply about human nature	the poem be true about human nature	5 3 4 5 4	0 51 21 52 4
span more than	cover more than	a career span more than 20 years	a career cover more than 20 years	7 6 6 6 5	41 51 1 32 4
post	be posted	Ive post another video	Ive be posted another video	1 6 6 6 5	34 35 29 46 36
consist of	make up of	Native vegetation consist of western wheatgrass	Native vegetation make up of western wheatgrass	6 2 6 6 4	58 7 50 8 9
move in to	settle into	Families move in to a house	Families settle into a house	1 6 6 5 4	30 31 32 33 48
be offered to	be reserved for	Exemptions be offered to veterans	Exemptions be reserved for veterans	6 5 6 3 4	30 31 3 33 52
want to leave	want to be on	Nobody want to leave the hospital	Nobody want to be on the hospital	2 1 1 2 5	0 41 16 22 37
be proud of	be happy with	All of you be proud of yourselves	All of you be happy with yourselves	5 1 5 5 4	0 1 2 23 4
speak to	talk to	Nas speak to MTV News	Nas talk to MTV News	6 5 6 6 5	5 14 11 9 48
be dedicated to	be committed to	The new facility be dedicated to research	The new facility be committed to research	6 5 6 6 5	58 14 50 8 9
have plenty of	have a lot of	consumers have plenty of choices	consumers have a lot of choices	5 5 6 6 6	39 5 43 12 48
come of	be 25 year of	Baby boomers come of age	Baby boomers be 25 year of age	1 4 3 1 3	44 13 14 15 25
decide to keep	continue to keep	the Italians decide to keep him	the Italians continue to keep him	5 4 6 6 3	39 40 12 7 20
be right for	be the right choice for	the size be right for your needs	the size be the right choice for your needs	6 6 6 6 6	16 14 17 10 25
be prepared for	be readied for	Retailers be prepared for a downturn	Retailers be readied for a downturn	5 6 6 6 6	39 43 44 12 15
have a beneficial effect on	help stimulate	viruses have a beneficial effect on health	viruses help stimulate health	5 5 1 6 4	39 5 43 12 15
be placed for	be ready for	the ball be placed for a kick-off	the ball be ready for a kick-off	5 6 5 7 5	5 12 14 7 15
find one of	have two of	Her hand find one of my breasts	Her hand have two of my breasts	3 2 1 6 3	39 5 43 44 12
spend 17 year in	gain experience in	Porter spend 17 year in the NBA	Porter gain experience in the NBA	3 4 4 4 3	13 24 15 48 25
read like	be kind of like	this true story read like fiction	this true story be kind of like fiction	6 6 6 5 5	30 31 32 33 48
sit at	sit down at	his mother sit at the window	his mother sit down at the window	3 5 6 5 6	38 42 18 19 10
be based on	be focused on	Selection be based on academic records	Selection be focused on academic records	3 5 5 5 6	38 42 18 19 10
agree with	disagree with	the Torah agree with science	the Torah disagree with science	1 1 1 5 1	30 31 3 33 52
choose	decide on	The host choose the movie	The host decide on the movie	7 6 6 6 5	51 1 21 32 4
serve as	assume the role of	Eric serve as an instructor	Eric assume the role of an instructor	5 5 6 5 5	13 6 11 24 25
invade	rule	Iraq invade Iran	Iraq rule Iran	3 6 2 1 4	55 47 41 51 20
exist in	be found in	Afrikaans exist in South Africa	Afrikaans be found in South Africa	5 6 6 6 6	5 13 14 7 15
be divided up into	be arranged into	The remainder of this document be divided up into sections	The remainder of this document be arranged into sections	5 6 7 6 4	14 50 9 8 48
plant	grow	The women plant corn	The women grow corn	5 6 5 3 3	39 43 12 15 48
be daughter of	be knighted by	Eleanor be daughter of Edward	Eleanor be knighted by Edward	1 1 1 1 2	41 16 51 2 22
be proud of	forget	All of you be proud of yourselves	All of you forget yourselves	1 1 1 2 2	43 44 35 6 45
pull up	roll down	tornado pull up the things	tornado roll down the things	2 2 1 4 5	0 2 1 21 4
have a crush on	adore	Michael Skakel have a crush on Martha Moxley	Michael Skakel adore Martha Moxley	6 1 5 4 5	34 27 29 36 45
permit	quantify	The Supreme Court permit the defendant	The Supreme Court quantify the defendant	4 3 5 2 2	58 14 50 8 48
congratulate	be grateful to	McCain congratulate the victor	McCain be grateful to the victor	2 4 3 4 2	51 1 22 21 23
sing	hum	Kevin sing this song	Kevin hum this song	6 5 4 5 4	16 14 17 10 25
use a combination of	use	Chiropractors use a combination of treatments	Chiropractors use treatments	6 6 5 5 5	43 44 6 35 45
pinch	grab	Jesse pinch my right hand	Jesse grab my right hand	1 5 3 1 2	16 51 31 32 10
stare in	smile in	the husband stare in disbelief	the husband smile in disbelief	3 1 1 1 3	39 43 44 12 15
introduce	announce the release of	Google introduce Video search	Google announce the release of Video search	5 5 6 6 6	39 5 43 12 35
be home to	make their home in	San Angelo be home to Angelo State University	Angelo State University make their home in San Angelo	6 6 6 2 6	41 22 21 37 20
be sufficient for	be critical for	A high school diploma be sufficient for most jobs	A high school diploma be critical for most jobs	5 3 3 2 4	6 7 11 8 9
manage	connect	The VA manage hospitals	The VA connect hospitals	4 6 4 2 4	34 27 13 36 45
be entitled to	be denied	The landlord be entitled to possession of the rental unit	The landlord be denied possession of the rental unit	6 1 2 2 1	44 13 17 24 25
be pared to	generalize to	Our list be pared to places	Our list generalize to places	3 4 3 2 5	0 2 1 52 4
be to fit	be to regulate	the most important things be to fit the shoulders	the most important things be to regulate the shoulders	2 3 2 5 6	0 1 2 23 4
like to design	enjoy design	Peter like to design things	Peter enjoy design things	3 6 5 5 6	38 16 19 20 10
get a kick out of	be amused by	My daughter get a kick out of the whole thing	My daughter be amused by the whole thing	3 5 6 6 4	38 42 21 18 19
serve as	assume the position of	Children serve as apprentices	Children assume the position of apprentices	5 6 6 6 5	6 7 50 8 9
arrive at	leave for	Ferry services arrive at the port	Ferry services leave for the port	1 1 1 1 2	34 27 29 23 36
be the source of	be a part of	God be the source of perfect love	God be a part of perfect love	3 1 5 3 4	41 16 0 51 21
sympathize with	be sympathetic with	the Board sympathize with the resident	the Board be sympathetic with the resident	5 6 6 6 7	39 7 11 8 9
be to bring	be to keep	The idea be to bring information	The idea be to keep information	3 2 5 5 5	38 17 18 19 20
come under	operate under	Turkey come under this category	Turkey operate under this category	4 6 6 5 6	0 41 16 51 2
be difficult for	be accessible to	other foods be difficult for birds	other foods be accessible to birds	2 2 1 1 1	58 11 50 8 9
search in	look throughout	him search in the king 's library	him look throughout the king 's library	6 6 6 5 4	34 27 29 36 45
be fearful of	be frightened by	Her two children be fearful of their father	Her two children be frightened by their father	5 5 1 6 5	39 5 43 12 35
be a part of	be a large part of	The old covenant be a part of the Word of God	The old covenant be a large part of the Word of God	5 5 5 6 6	5 7 10 11 8
do much care for	doesnt like	Natalie do much care for him	Natalie doesnt like him	3 3 2 2 6	38 42 17 18 19
be infected with	be vaccinated against	my home computer be infected with a virus	my home computer be vaccinated against a virus	2 1 1 3 2	39 34 47 38 5
die for	die in	the Lord Jesus Christ die for the sins of the world	the Lord Jesus Christ die in the sins of the world	6 1 5 2 5	27 28 35 29 46
construct	revise	The organization construct a Web site	The organization revise a Web site	6 1 5 4 2	27 28 35 29 46
produce	continue to produce	The adrenal glands produce hormones	The adrenal glands continue to produce hormones	6 5 5 6 6	58 14 50 8 9
shut	interrupt	Oil companies shut refineries	Oil companies interrupt refineries	6 6 5 3 5	43 44 6 35 45
be taken	be seen	This picture be taken last night	This picture be seen last night	2 3 5 2 6	6 7 10 11 8
be inside	get inside	users be inside the library	users get inside the library	5 5 4 6 5	14 11 50 8 48
crash	lock up	Dad crash car	Dad lock up car	2 2 2 1 4	5 11 50 9 48
influence	dictate	gender influence identity	gender dictate identity	1 1 6 4 4	34 27 35 29 36
monitor the progress of	check the status of	Candidates monitor the progress of students	Candidates check the status of students	6 6 5 6 5	34 28 35 29 36
be useful for	be aimed at	This presentation be useful for the beginning of a composition course	This presentation be aimed at the beginning of a composition course	5 4 5 2 5	1 2 21 3 4
know after	stay after	Everybody know after workout	Everybody stay after workout	5 6 6 2 1	26 27 28 17 29
alleviate	reduce	These exercises alleviate pain	These exercises reduce pain	6 6 4 6 6	16 51 31 32 10
recommend	be pleased with	the doctor recommend a biopsy	the doctor be pleased with a biopsy	2 1 2 3 5	0 1 2 23 4
progress towards	get closer to	the city progress towards regeneration	the city get closer to regeneration	6 5 5 6 5	47 41 51 2 49
depend on	be dependent upon	Our rates depend on factors	Our rates be dependent upon factors	6 6 6 2 6	41 16 42 37 20
be born in	be a native of	Jackie be born in Chicago	Jackie be a native of Chicago	1 6 5 3 6	30 31 3 33 48
mean eat	mean	Good nutrition mean eat fewer calories	Good nutrition mean fewer calories	5 6 6 5 5	5 11 50 9 48
be short on	have ton of	this game be short on moves	this game have ton of moves	6 6 2 5 1	47 16 21 19 20
guess	agree	no one guess the ending	no one agree the ending	1 1 1 2 1	34 28 35 29 36
win	be nominated for	The Saints win a home game	The Saints be nominated for a home game	2 2 1 1 5	41 0 51 2 4
vary from	vary based on	Cancellation policies vary from hotel	Cancellation policies vary based on hotel	3 1 6 5 6	38 47 18 19 10
sell in	be popular in	Nintendo sell in Japan	Nintendo be popular in Japan	3 1 5 3 2	39 43 12 15 48
stay at	remain at	The women stay at the van	The women remain at the van	6 6 4 6 5	30 31 3 32 33
affect	prevent	your choices affect the outcome	your choices prevent the outcome	1 6 3 4 3	34 27 29 36 45
split	decide to split	the Committee split the award	the Committee decide to split the award	3 1 5 5 6	38 47 42 18 19
hurt	harm	Neutering hurt my pet	Neutering harm my pet	6 6 5 6 6	16 17 20 48 25
have a great influence on	have a great impact on	Parents have a great influence on the career development of their children	Parents have a great impact on the career development of their children	6 5 6 6 6	16 14 17 10 25
want to marry	agree to marry	Chris want to marry May	May agree to marry Chris	5 3 5 4 4	58 14 50 8 9
provide service to	work with	others provide service to children and families	others work with children and families	5 5 5 4 4	16 17 10 24 25
hit theater on	premiere on	the movie hit theater on June 29	the movie premiere on June 29	5 5 1 6 6	39 5 43 12 48
make off with	hand over	The thieves make off with TVs	The thieves hand over TVs	2 2 2 2 3	14 11 50 9 48
drop to	drop below	the prices drop to a reasonable price	the prices drop below a reasonable price	6 1 3 6 4	16 31 37 10 32
order	grant	The FERC order the California Power Exchange	The FERC grant the California Power Exchange	5 2 3 5 5	6 7 11 8 9
